sent,action,ob0,role0,ob1,role1,ob2,role2,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38
the yellow cube throw the grey sphere to the blue tower,throw,blue Tower,recipient ,yellow Cube,agent ,grey Sphere,theme ,0.0000,0.4438,0.9150,0.0000,0.0000,0.4822,0.0000,0.0000,0.0000,0.0000,0.9733,0.9994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.8157,0.5766,0.0000,0.0000,0.7951,0.9186,0.0000,0.0199,0.9485,0.9947,0.0000,0.0000,0.6323,0.0000,0.0000,0.6053,0.3308,0.3446,0.1000
the yellow cylinder give the grey sphere to the red tower,give,grey Sphere,theme ,red Tower,recipient ,yellow Cylinder,agent ,0.0000,0.9150,0.8489,0.0000,0.0000,0.8001,0.0000,0.0000,0.0000,0.0000,1.0000,0.7738,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7952,0.7786,0.7952,0.0000,1.0000,0.0000,0.3553,0.0000,0.9954,0.9725,0.9565,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3340,0.3377
the grey sphere hop,hop,green Cube, ,grey Sphere,agent ,red Dome, ,0.0000,0.5674,0.4910,0.0000,0.0000,0.1710,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0784,0.9915,0.0198,0.0000,0.8203,0.0000,0.0000,0.8162,0.0000,0.1000,0.1000,0.1000
the blue cylinder spin,spin,blue Cylinder,agent ,grey Cube, ,red Tower, ,0.0000,0.6939,0.1821,0.0000,0.0000,0.4882,0.0000,0.0000,0.0000,0.0000,0.1019,0.2996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2896,0.0000,0.0000,0.2907,0.0317,0.0000,0.0180,0.0792,0.0184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9872,0.1000,0.1000
the red cube throw the green dome,throw,red Cube,agent ,white Sphere, ,green Dome,theme ,0.0000,0.3355,0.5935,0.0000,0.0000,0.4967,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4574,0.0000,0.0391,0.9967,0.0000,0.0000,0.9079,0.0205,0.9868,0.0000,0.0000,0.6323,0.0000,0.0000,0.7084,0.3584,0.1000,0.0000
the yellow tower roll the green sphere,roll,green Sphere,theme ,white Cone, ,yellow Tower,agent ,0.0000,0.9210,0.4333,0.0000,0.0000,0.3875,0.0000,0.0000,0.0000,0.0000,1.0000,0.9497,0.5411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9339,0.4930,0.0000,0.9976,0.0000,0.0000,0.0000,0.9958,0.4196,0.9142,0.3119,0.0000,0.0000,0.0000,0.0000,0.0000,0.9571,0.2552,0.3366
the yellow tower throw the grey cylinder,throw,yellow Tower,agent ,grey Cylinder,theme ,white Dome, ,0.0000,0.5823,0.3432,0.0000,0.0000,0.5043,0.0000,0.0000,0.0000,0.0000,1.0000,0.2991,0.7426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5880,0.9980,0.0000,0.9734,0.4579,0.0193,0.0000,0.9158,0.9864,0.0197,0.0000,0.6323,0.0000,0.0000,0.7084,0.0000,0.3409,0.0000,0.1000
the green cube roll the yellow cylinder,roll,green Cube,agent ,blue Tower, ,yellow Cylinder,theme ,0.0000,0.3911,0.4063,0.0000,0.0000,0.5156,0.0000,0.0000,0.0000,0.0000,0.0000,0.7944,0.9576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1948,0.4276,0.9908,0.0000,0.0000,0.4652,0.9111,0.0000,0.9158,0.0190,0.9957,0.0000,0.0000,0.1641,0.0000,0.0000,0.0000,0.3399,0.1000,0.8165
the blue cube throw the yellow cone,throw,red Cylinder, ,blue Cube,agent ,yellow Cone,theme ,0.0000,0.4380,0.9028,0.0000,0.0000,0.4779,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8980,0.2187,0.0000,0.0000,0.0000,0.0000,0.9978,0.0000,0.0208,0.9481,0.9823,0.0000,0.0000,0.6323,0.0000,0.0000,0.7084,0.1000,0.3270,0.0000
the red sphere throw the white dome to the grey cube,throw,white Dome,theme ,red Sphere,agent ,grey Cube,recipient ,0.0000,0.4567,0.9150,0.0000,0.0000,0.4295,0.0000,0.0000,0.0000,0.0000,0.7720,0.4846,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9126,0.7951,0.0000,0.0000,0.4777,0.8154,0.9973,0.0000,0.9954,0.9521,0.1159,0.6323,0.0000,0.0000,0.6051,0.0000,0.0000,0.1000,0.3336,0.3193
